Site Name,Site ID,Sample Date,Lab Sample ID,Time Collected,Time Delivered To Lab,Duplicate,Wet Weather?,Within holding time(6 hrs)?,Preservation temperature (deg C),Preservation ~4 deg C,Volume (mL),MPN/100mL Undiluted Sample,Lab,Analyst,Monitoring Org,Comments
Beaver Lake-West,BLWB1,7/20/2023,23-13-27,7:20:00,10:45:00,N,Y,Y,6.6,N,100,12,CRC Lab,Langley,C4RC,0
Beaver Lake-West,BLWB1,8/24/2023,23-23-24,6:30:00,11:00:00,N,N,Y,7.1,N,100,3,CRC Lab,Alden Dumas,C4RC,0
Black River trib (Branch Brook - Buttermilk Falls),BRAT.BB.BF,5/24/2023,BRAT.BB.BF,8:45:00,13:18:00,n,N,Y,NA,NA,100,13,Endyne,Endyne,BRAT,
Black River trib (Branch Brook - Buttermilk Falls),BRAT.BB.BF,5/31/2023,BRAT.BB.BF,8:00:00,13:53:00,n,N,Y,NA,NA,100,6,Endyne,Endyne,BRAT,
Black River trib (Branch Brook - Buttermilk Falls),BRAT.BB.BF,6/7/2023,BRAT.BB.BF,7:30:00,13:50:00,n,N,Y,NA,NA,100,14,Endyne,Endyne,BRAT,
Black River trib (Branch Brook - Buttermilk Falls),BRAT.BB.BF,6/14/2023,BRAT.BB.BF,8:30:00,14:29:00,n,Y,Y,NA,NA,100,67,Endyne,Endyne,BRAT,
Black River trib (Branch Brook - Buttermilk Falls),BRAT.BB.BF,6/21/2023,BRAT.BB.BF,8:30:00,15:00:00,n,N,Y,NA,NA,100,29,Endyne,Endyne,BRAT,
Black River trib (Branch Brook - Buttermilk Falls),BRAT.BB.BF,6/28/2023,BRAT.BB.BF,7:45:00,14:08:00,n,Y,Y,NA,NA,100,184,Endyne,Endyne,BRAT,
Black River trib (Branch Brook - Buttermilk Falls),BRAT.BB.BF,7/5/2023,BRAT.BB.BF,8:05:00,13:30:00,n,Y,Y,NA,NA,100,40,Endyne,Endyne,BRAT,
Black River trib (Branch Brook - Buttermilk Falls),BRAT.BB.BF,8/2/2023,BRAT.BB.BF,8:45:00,16:01:00,n,N,Y,NA,NA,100,39,Endyne,Endyne,BRAT,
Black River at Tolles Dam,BRAT.BR.12.3,5/24/2023,BRAT.BR.12.3,7:00:00,13:18:00,n,N,Y,NA,NA,100,26,Endyne,Endyne,BRAT,
Black River at Tolles Dam,BRAT.BR.12.3,5/31/2023,BRAT.BR.12.3,8:20:00,13:53:00,n,N,Y,NA,NA,100,63,Endyne,Endyne,BRAT,
Black River at Tolles Dam,BRAT.BR.12.3,6/7/2023,BRAT.BR.12.3,7:07:00,13:50:00,n,N,Y,NA,NA,100,22,Endyne,Endyne,BRAT,
Black River at Tolles Dam,BRAT.BR.12.3,6/14/2023,BRAT.BR.12.3,8:40:00,14:29:00,n,Y,Y,NA,NA,100,345,Endyne,Endyne,BRAT,
Black River at Tolles Dam,BRAT.BR.12.3,6/21/2023,BRAT.BR.12.3,7:45:00,15:00:00,n,N,Y,NA,NA,100,36,Endyne,Endyne,BRAT,
Black River at Tolles Dam,BRAT.BR.12.3,6/28/2023,BRAT.BR.12.3,8:45:00,13:56:00,n,Y,Y,NA,NA,100,186,Endyne,Endyne,BRAT,
Black River at Tolles Dam,BRAT.BR.12.3,7/5/2023,BRAT.BR.12.3,8:45:00,13:30:00,n,Y,Y,NA,NA,100,133,Endyne,Endyne,BRAT,
Black River at Cavendish Gorge,BRAT.BR.20.5,5/24/2023,BRAT.BR.20.5,6:50:00,13:18:00,n,N,Y,NA,NA,100,16,Endyne,Endyne,BRAT,
Black River at Cavendish Gorge,BRAT.BR.20.5,5/31/2023,BRAT.BR.20.5,7:10:00,13:53:00,n,N,Y,NA,NA,100,24,Endyne,Endyne,BRAT,
Black River at Cavendish Gorge,BRAT.BR.20.5,6/7/2023,BRAT.BR.20.5,6:45:00,13:50:00,n,N,Y,NA,NA,100,7,Endyne,Endyne,BRAT,
Black River at Cavendish Gorge,BRAT.BR.20.5,6/14/2023,BRAT.BR.20.5,6:55:00,14:29:00,n,Y,Y,NA,NA,100,276,Endyne,Endyne,BRAT,
Black River at Cavendish Gorge,BRAT.BR.20.5,6/21/2023,BRAT.BR.20.5,7:50:00,15:00:00,n,N,Y,NA,NA,100,66,Endyne,Endyne,BRAT,
Black River at Cavendish Gorge,BRAT.BR.20.5,6/28/2023,BRAT.BR.20.5,7:50:00,14:08:00,n,Y,Y,NA,NA,100,126,Endyne,Endyne,BRAT,
Black River at Cavendish Gorge,BRAT.BR.20.5,7/5/2023,BRAT.BR.20.5,7:45:00,13:30:00,n,Y,Y,NA,NA,100,56,Endyne,Endyne,BRAT,
Black River at Cavendish Gorge,BRAT.BR.20.5,8/2/2023,BRAT.BR.20.5,7:25:00,14:15:00,n,N,Y,NA,NA,100,58,Endyne,Endyne,BRAT,
Black River at Greven Field,BRAT.BR.23.0,5/24/2023,BRAT.BR.23.0,7:04:00,13:18:00,n,N,Y,NA,NA,100,28,Endyne,Endyne,BRAT,
Black River at Greven Field,BRAT.BR.23.0,5/31/2023,BRAT.BR.23.0,6:50:00,14:02:00,n,N,Y,NA,NA,100,20,Endyne,Endyne,BRAT,
Black River at Greven Field,BRAT.BR.23.0,6/7/2023,BRAT.BR.23.0,7:04:00,13:50:00,n,N,Y,NA,NA,100,15,Endyne,Endyne,BRAT,
Black River at Greven Field,BRAT.BR.23.0,6/14/2023,BRAT.BR.23.0,7:15:00,14:29:00,n,Y,Y,NA,NA,100,199,Endyne,Endyne,BRAT,
Black River at Greven Field,BRAT.BR.23.0,6/21/2023,BRAT.BR.23.0,8:05:00,15:00:00,n,N,Y,NA,NA,100,88,Endyne,Endyne,BRAT,
Black River at Greven Field,BRAT.BR.23.0,6/28/2023,BRAT.BR.23.0,8:05:00,13:56:00,n,Y,Y,NA,NA,100,142,Endyne,Endyne,BRAT,
Black River at Greven Field,BRAT.BR.23.0,7/5/2023,BRAT.BR.23.0,8:00:00,13:51:00,n,Y,Y,NA,NA,100,43,Endyne,Endyne,BRAT,
Black River at Greven Field,BRAT.BR.23.0,8/2/2023,BRAT.BR.23.0,7:55:00,14:15:00,n,N,Y,NA,NA,100,43,Endyne,Endyne,BRAT,
Black River North Branch at Twentyfoot Hole,BRAT.NB.8.8,5/24/2023,BRAT.NB.8.8,8:15:00,13:18:00,n,N,Y,NA,NA,100,52,Endyne,Endyne,BRAT,
Black River North Branch at Twentyfoot Hole,BRAT.NB.8.8,5/31/2023,BRAT.NB.8.8,8:15:00,13:53:00,n,N,Y,NA,NA,100,33,Endyne,Endyne,BRAT,
Black River North Branch at Twentyfoot Hole,BRAT.NB.8.8,6/7/2023,BRAT.NB.8.8,6:15:00,13:50:00,n,N,Y,NA,NA,100,18,Endyne,Endyne,BRAT,
Black River North Branch at Twentyfoot Hole,BRAT.NB.8.8,6/14/2023,BRAT.NB.8.8,8:15:00,14:29:00,n,Y,Y,NA,NA,100,52,Endyne,Endyne,BRAT,
Black River North Branch at Twentyfoot Hole,BRAT.NB.8.8,6/21/2023,BRAT.NB.8.8,7:00:00,14:46:00,n,N,Y,NA,NA,100,16,Endyne,Endyne,BRAT,
Black River North Branch at Twentyfoot Hole,BRAT.NB.8.8,6/28/2023,BRAT.NB.8.8,8:15:00,14:08:00,n,Y,Y,NA,NA,100,63,Endyne,Endyne,BRAT,
Black River North Branch at Twentyfoot Hole,BRAT.NB.8.8,7/5/2023,BRAT.NB.8.8,8:00:00,13:44:00,n,Y,Y,NA,NA,100,15,Endyne,Endyne,BRAT,
Black River North Branch at Twentyfoot Hole,BRAT.NB.8.8,8/2/2023,BRAT.NB.8.8,9:15:00,16:01:00,n,N,Y,NA,NA,100,10,Endyne,Endyne,BRAT,
Buck River,Buck-1030,6/6/2023,2023-012,10:17:00,13:29:00,N,N,Y,NA,NA,100,6.3,FRWA,"LH, OB",FRWA,
Buck River,Buck-1030,7/11/2023,2023-057,10:30:00,13:48:00,N,Y,Y,0.8,Y,100,95.9,FRWA IdexxColil,OB CR,FRWA,
Buck River,Buck-1030,7/25/2023,2023-079,10:30:00,13:58:00,N,N,Y,1.7,Y,100,29.2,FRWA IdexxColil,OB CR,FRWA,
Buck River,Buck-1030,8/8/2023,2023-101,10:30:00,13:17:00,N,Y,Y,1,Y,100,98.7,FRWA IdexxColil,OB CR,FRWA,
Buck River,Buck-1030,8/22/2023,2023-123,10:19:00,14:05:00,N,N,Y,0.7,Y,100,34.5,FRWA IdexxColil,LH CK,FRWA,
Cherry Brook,CB-28,6/13/2023,2023-1000,11:01:00,14:20:00,N,Y,Y,NA,NA,100,77.6,FRWA,CK,FRWA,
Cherry Brook,CB-28,7/18/2023,2023-1120,9:50:00,13:59:00,N,Y,Y,2,Y,100,410.6,FRWA IdexxColil,OB CR,FRWA,
Cherry Brook,CB-28,8/1/2023,2023-1000,9:50:00,13:15:00,N,Y,Y,1.8,Y,100,56.5,FRWA IdexxColil,EM CR,FRWA,
Cherry Brook,CB-28,8/15/2023,2023-1094,9:51:00,13:04:00,N,Y,Y,1.3,Y,100,1413.6,FRWA IdexxColil,OB CR,FRWA,
Cherry Brook,CB-28,9/6/2023,2023-1147,11:00:00,13:30:00,N,N,Y,0.4,Y,100,47.1,FRWA IdexxColil,PV CK,FRWA,
Cherry Brook,CB-4140,6/13/2023,2023-1002,10:41:00,14:20:00,N,Y,Y,NA,NA,100,206.4,FRWA,CK,FRWA,
Cherry Brook,CB-4140,7/18/2023,2023-1122,9:30:00,13:59:00,N,Y,Y,2,Y,100,161.6,FRWA IdexxColil,OB CR,FRWA,
Cherry Brook,CB-4140,8/1/2023,2023-1002,9:30:00,13:15:00,N,Y,Y,1.8,Y,100,115.3,FRWA IdexxColil,EM CR,FRWA,
Cherry Brook,CB-4140,8/15/2023,2023-1092,9:33:00,13:04:00,N,Y,Y,1.3,Y,100,1553.1,FRWA IdexxColil,OB CR,FRWA,
Cherry Brook,CB-4140,9/6/2023,2023-1145,9:32:00,13:30:00,N,N,Y,0.4,Y,100,344.8,FRWA IdexxColil,PV CK,FRWA,
Cherry Brook,CB-8560,6/13/2023,2023-1003,10:23:00,14:20:00,N,Y,Y,NA,NA,100,118.7,FRWA,CK,FRWA,
Cherry Brook,CB-8560,7/18/2023,2023-1123,9:20:00,13:59:00,N,Y,Y,2,Y,100,74.4,FRWA IdexxColil,OB CR,FRWA,
Cherry Brook,CB-8560,8/15/2023,2023-1091,9:24:00,13:04:00,N,Y,Y,1.3,Y,100,1413.6,FRWA IdexxColil,OB CR,FRWA,
Cherry Brook,CB-8560,9/6/2023,2023-1144,9:25:00,13:30:00,N,N,Y,0.4,Y,100,114.5,FRWA IdexxColil,PV CK,FRWA,
Chicopee-Collins Dam,CCD1,6/8/2023,23-02-04,6:55:00,10:20:00,N,N,Y,6.3,N,100,90.8,CRC Lab,Langley,C4RC,0
Chicopee-Collins Dam,CCD1,6/22/2023,23-06-04,6:57:00,10:35:00,N,N,Y,8.5,N,100,31.7,CRC Lab,Langley,C4RC,0
Chicopee-Collins Dam,CCD1,7/6/2023,23-10-04,6:58:00,10:20:00,N,N,Y,7.4,N,100,115.3,CRC Lab,Langley,C4RC,0
Chicopee-Collins Dam,CCD1,7/20/2023,23-13-04,6:54:00,10:45:00,N,Y,Y,6.1,N,100,62.4,CRC Lab,Langley,C4RC,0
Chicopee-Collins Dam,CCD1,8/10/2023,23-19-04,6:49:00,10:30:00,N,Y,Y,6.5,N,100,72.7,CRC Lab,Langley,C4RC,0
Chicopee-Collins Dam,CCD1,8/24/2023,23-23-04,6:51:00,11:00:00,N,N,Y,5.8,N,100,56.3,CRC Lab,Alden Dumas,C4RC,0
Chicopee-Collins Dam,CCD1,9/7/2023,23-27-29,6:40:00,10:25:00,N,N,Y,6.6,N,100,34.1,CRC Lab,Langley,C4RC,0
Chicopee - Indian Orchard access,CI01,6/8/2023,23-02-01,7:20:00,10:20:00,N,N,Y,6.2,N,100,13.2,CRC Lab,Langley,C4RC,0
Chicopee - Indian Orchard access,CI01,6/22/2023,23-06-01,7:10:00,10:35:00,N,N,Y,7.6,N,100,61.3,CRC Lab,Langley,C4RC,0
Chicopee - Indian Orchard access,CI01,7/6/2023,23-10-01,7:07:00,10:20:00,N,N,Y,7.3,N,100,88.4,CRC Lab,Langley,C4RC,0
Chicopee - Indian Orchard access,CI01,8/10/2023,23-19-01,6:50:00,10:30:00,N,Y,Y,7.3,N,100,48.7,CRC Lab,Langley,C4RC,0
Chicopee - Indian Orchard access,CI01,8/24/2023,23-23-01,6:50:00,11:00:00,N,N,Y,5.6,N,100,17.3,CRC Lab,Alden Dumas,C4RC,0
Chicopee - Indian Orchard access,CI01,9/7/2023,23-27-27,7:06:00,10:25:00,N,N,Y,5.4,N,100,65.7,CRC Lab,Langley,C4RC,0
Clam River,Clam-2000,6/6/2023,2023-014,10:43:00,13:29:00,N,N,Y,NA,NA,100,23.1,FRWA,"LH, OB",FRWA,
Clam River,Clam-2000,7/11/2023,2023-059,10:50:00,13:48:00,N,Y,Y,0.8,Y,100,579.4,FRWA IdexxColil,OB CR,FRWA,
Clam River,Clam-2000,7/25/2023,2023-081,10:50:00,13:58:00,N,N,Y,1.7,Y,100,9.5,FRWA IdexxColil,OB CR,FRWA,
Clam River,Clam-2000,8/8/2023,2023-103,10:53:00,13:17:00,N,Y,Y,1,Y,100,48.8,FRWA IdexxColil,OB CR,FRWA,
Clam River,Clam-2000,8/22/2023,2023-125,10:44:00,14:05:00,N,N,Y,0.7,Y,100,21.3,FRWA IdexxColil,LH CK,FRWA,
Chicopee - Putts Bridge access,CPB1,6/8/2023,23-02-02,7:30:00,10:20:00,N,N,Y,5.8,N,100,35.9,CRC Lab,Langley,C4RC,0
Chicopee - Putts Bridge access,CPB1,6/22/2023,23-06-02,7:20:00,10:35:00,N,N,Y,7.1,N,100,36.8,CRC Lab,Langley,C4RC,0
Chicopee - Putts Bridge access,CPB1,7/6/2023,23-10-02,7:20:00,10:20:00,N,N,Y,6.8,N,100,185,CRC Lab,Langley,C4RC,0
Chicopee - Putts Bridge access,CPB1,7/20/2023,23-13-02,7:20:00,10:45:00,N,Y,Y,6,N,100,150,CRC Lab,Langley,C4RC,0
Chicopee - Putts Bridge access,CPB1,8/10/2023,23-19-02,7:05:00,10:30:00,N,Y,Y,4.8,N,100,123.6,CRC Lab,Langley,C4RC,0
Chicopee - Putts Bridge access,CPB1,8/24/2023,23-23-02,7:10:00,11:00:00,N,N,Y,5.5,N,100,28.8,CRC Lab,Alden Dumas,C4RC,0
Chicopee - Putts Bridge access,CPB1,9/7/2023,23-27-28,7:25:00,10:25:00,N,N,Y,6.1,N,100,59.4,CRC Lab,Langley,C4RC,0
Quaboag Rt 20,CQ20-1,6/8/2023,23-02-12,7:36:00,10:20:00,N,N,Y,5.1,N,100,125,CRC Lab,Langley,C4RC,0
